Hero Image,Details,Description,in en search,exists in en,translated,name,Excursion Link
n,n,n,y,y,n,Costa Rica Jungle Kayak Adventure,https://www.hollandamerica.com/de_DE/shore-excursions/1010057/costa-rica-jungle-kayak-adventure.html
n,n,n,y,y,n,Cozumel Certified Two-Tank Scuba Diving,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/cozumel-certified-two-tank-scuba-diving.html
n,n,n,y,y,n,Cozumel Country Club Golf,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cozumel-country-club-golf.html
n,n,n,y,y,n,Cozumel Discover Scuba Diving,https://www.hollandamerica.com/de_DE/shore-excursions/1010060/cozumel-discover-scuba-diving.html
n,n,n,y,y,n,Cozumel Highlights & Shopping,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cozumel-highlights-shopping.html
n,n,n,y,y,n,Cozumel Private Touring - Full Day (Van),https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cozumel-private-touring-full-day-van.html
n,n,n,y,y,n,Cozumel Private Touring - Half Day (Van),https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cozumel-private-touring-half-day-van.html
n,n,n,y,y,n,Cozumel by Land & Sea,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/cozumel-by-land-sea.html
y,y,y,y,y,n,Creole Traditions of St Lucia,https://www.hollandamerica.com/de_DE/shore-excursions/1010063/creole-traditions-of-st-lucia.html
y,n,n,y,y,y,Cruise with Purpose: Cozumel Aktive Riff-Restaurierung,https://www.hollandamerica.com/de_DE/shore-excursions/1010068/cruise-with-purpose-cozumel-active-reef-restoration.html
n,n,n,y,y,n,Crusoe Island Getaway,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/crusoe-island-getaway.html
n,n,n,y,y,n,Crystal Cave Adventure,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/crystal-cave-adventure.html
n,n,n,y,y,n,Curacao Beach Express,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/curacao-beach-express.html
n,n,n,y,y,n,Curacao Country Drive,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/curacao-country-drive.html
n,n,n,y,y,n,Curacao Dolphin Encounter,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/curacao-dolphin-encounter.html
y (placeholder),n,n,y,y,n,Curacao Dolphin Swim,https://www.hollandamerica.com/de_DE/shore-excursions/1010059/curacao-dolphin-swim.html
