Hero Image,Details,Description,in en,translated,name,Excursion Link
n,y,y,y,n,Grand Mansions Of Newport,https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/grand-mansions-of-newport.html
n,y,y,y,y,Gros Morne National Park,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/gros-morne-national-park.html
y,y,y,y,y,Halifax Per Paardentram,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/halifax-by-horse-drawn-trolley.html
y,y,y,n,y,Hemingway Was Hier,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/hemingway-s-hangouts-hideaways.html
n,y,y,n,y,Hesteyri En Cruise Door Gletsjerfjord,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/hesteyri-glacier-fjord-cruise.html
n,y,y,n,y,Het IJsland Van Morgen: De Eeuwenoude Vuurring,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/iceland-tomorrow-the-ancient-ring-of-fire.html
n,y,y,y,y,Het Avonturenpark SeaWorld,https://www.hollandamerica.com/nl_NL/shore-excursions/1010060/seaworld-adventure-park.html
n,y,y,y,y,Het Beste Van Cape Breton,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/the-best-of-cape-breton.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/the-best-of-halifax.html
y,y,y,n,y,Het Beste Van Havana,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/the-best-of-havana.html
y,y,y,y,y,Het Beste Van Prins Edwardeiland,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/best-of-prince-edward-island.html
y,y,y,y,y,Het Beste Van Quebec En Platteland Met Lunch,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/best-of-quebec-countryside-with-lunch.html
n,y,y,n,y,Het Beste Van De Gouden Circel: Avondeditie,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/best-of-the-golden-circle-evening-edition.html
n,y,y,n,y,"Het Beste Van De Gouden Circel: Thingvellir, Gullfoss & Geysir",https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/best-of-the-golden-circle-thingvellir-gullfoss-geysir.html
y,y,y,y,y,Het Beste Van Twee Werelden,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/best-of-both-worlds.html
y,y,y,y,y,Het Hart Van Historisch Halifax,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/the-heart-of-historic-halifax.html
n,y,y,y,y,Het Hart Van Historisch Halifax (Begeleid In Het Spaans),https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/the-heart-of-historic-halifax-guided-in-spanish.html
n,y,y,y,y,Het Historische Charlottetown In Een Paardenkoets,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/historic-charlottetown-by-horse-drawn-trolley.html
n,y,y,n,y,Het Is Een Vikingding,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/it-s-a-viking-thing.html
n,y,y,n,y,Het Leven En De Cultuur Van Isafjordur,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/life-culture-of-isafjordur.html
n,n,n,y,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/life-of-a-coal-miner.html
n,y,y,y,y,Het Oude En Nieuwe Montreal,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/old-new-montreal.html
y,y,y,n,n,Highlights Of Costa Maya Town & Beach Break,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/highlights-of-costa-maya-town-beach-break.html
n,y,y,y,n,Historic & Modern Quebec,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/historic-modern-quebec.html
y,y,y,y,n,Historic Tampa & Airport Transfer,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/historic-tampa-airport-transfer.html
y,y,y,y,n,Historic Tampa & Airport Transfer (Wheelchair Accessible),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/historic-tampa-airport-transfer-wheelchair-accessible.html
y,y,y,y,n,Historic Tampa - Intransit,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/historic-tampa-intransit.html
y,y,y,y,n,Historic Tampa - Intransit (Wheelchair Accessible),https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/historic-tampa-intransit-wheelchair-accessible.html
y,y,y,y,y,Historisch Boston En Cambridge,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/historic-boston-cambridge.html
y,y,y,y,y,Historisch Lunenburg: UNESCO Plaatste Deze Op De Werelderfgoedlijst.,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/historical-lunenburg-a-unesco-world-heritage-site.html
n,y,y,y,y,Historisch Salem En Heksenmuseum,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/historic-salem-witch-museum.html
y,y,y,y,y,Historische Sites Van UNESCO,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/unesco-historic-sites.html
n,y,y,y,y,Historische Vuurtorens En Nationaal Park Acadia Over Zee,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/historic-lighthouses-acadia-national-park-by-sea.html
y,y,y,y,n,History & Legends,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/history-legends.html
n,y,y,y,y,"Hoogtepunten Portland, Fort Williams En Vuurtoren",https://www.hollandamerica.com/nl_NL/shore-excursions/1010067/portland-highlights-fort-williams-lighthouse.html
